i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70498/01,2016-17,Eastern,,,9,,,,2,,3.8,8.5,,,1,18,,5,6,21,,,,,,5,20,,,,2,23,10.4,,10,,,,,2,856,1,,,9,,,,6,,,,,,,,,,,30,,5,,,,,,,,10,3,,,,,,,,,,,,8,,,,,,,,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/02,2016-17,Eastern,,,12,28,,,7,,2.2,7.5,,4,,32,,4.5,4,14,,,,1.5,,,5,,1,,4,18,4.8,,50,,,,,,34,,2,,18,,,,6,,,,,,,,,,,20,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/03,2016-17,Eastern,,,10,,,,,,4.4,7,,,,21,,,9.5,14,,,,1,,5,,,1,,,20,0.8,,,,,,,8,39,,,,20,,,,8,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,49,,,,,,,,2.8,,,,,13.5,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/04,2016-17,Eastern,,,4,,,,,,4.8,4,,,0.5,19,,2.5,1.5,16,,,,2,,,,4,,,,18,4,,5,,,,,2,27,0.5,,,64,,,,4,,,5,,,,,,,,10,,5,,,0.4,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,,10,19,,,,,,,,,,,2,,13.5,,,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/05,2016-17,Eastern,,,4,,,,2,,5.2,7.5,,,,23,,,8,9,,,,1,,,,,1,,,17,4.8,3,10,,,,,9,31,,,,19,,,,6,,,,,,,,,,,10,,5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
70498/06,2016-17,Eastern,,2,7,3,,,,,3,2,2.1,,,16,,5,2.5,16,,,,,,6,10,,1,,,16,4,11,20,,,,,4,33,,,,9,,,,5,,,,,,,,,,,14,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/07,2016-17,Eastern,,,8,,,,,,3.8,12,,,,21,,5,8,16,,,,,,,20,,,,,10,6.4,,20,,,,,3,43,,,,15,,,,4,,,,,,,,,,,20,,,,,0.8,,,,,20,,2,,,,,,,8,,,,4,,,,,,,,,2.5,,,18,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/08,2016-17,Eastern,,4,7,,,,,,5.4,3,,,2,16,,5,4,20,,,,,,,20,,1.5,2,,20,4,,60,,,,,,50,1.5,,,29,,,,4,,,,,,,,,,,20,,,,,1.2,,,,,10,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,4,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/09,2016-17,Eastern,,2,11,11,,,8,,5.6,9,2.1,,1,5,,13,11,25,,,,,,4,42,4,1,,,17,12.8,,30,,,,,3,18,1,,,21,,,,2,,,2,,,,,,,,30,,,,,0.8,,,,,10,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/10,2016-17,Eastern,,,9,8,,,,,3.6,7,,,,12,,2.5,5.5,14,,,,,,,9,,,,,17,4,,20,,,,,11,21,,,,16,,,,96,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,4,,,,,,,,,2.5,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/11,2016-17,Eastern,,2,6,,,,2,,2.2,3,,8,,24,,,5.5,12,,,,1,,,,,,,,12,,,,,,,,6,18,,,,13,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/12,2016-17,Eastern,,4,3,8,,,2,,5.6,3.5,,,,,,,8,20,,,,1,,2,,,1,,,18,7.2,,40,,,,,6,15,,,,12,,,,8,,,2,,,,,,,,15,,,,,0.4,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/13,2016-17,Eastern,,2,8,16,,,2,,3.8,5,,8,,11,,,3,14,,,,,,,,6,1,2,,16,4,,30,,,,,4,23,,,,22,,,,8,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,2,,,2,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
70498/14,2016-17,Eastern,,,10,,,,3,,5.4,5.5,,,0.5,30,,2,8.5,15,,,,,,,,,1,,,22,4,,20,,,,,6,20,0.5,,,19,,,,5,,,2,,,,,,,,10,,,,,,,,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,2,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70498/15,2016-17,Eastern,,,2,,,,,,3.8,6,,,,15,,,6.5,16,,,,1.5,,,,6,1,,,16,,,10,,,,,5,43,,,,22,,,,,,,,,,,,,,,,,5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,1,,,,,13.5,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/01,2016-17,Eastern,,,,,,,,,,,,,,,,3.5,,8,,,,3,,,30,15,,,,19,7,,16,,,,,25,74,,,,10,,,,1,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/02,2016-17,Eastern,,,,,,,,,,,,5,,10,,4,3,8,,,,8,,,11,20,,,,14,16.1,,10,,,,,5,40,,,,8.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,18.4,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/03,2016-17,Eastern,,3,,4,,,,,1,,,,,4,,6,8,10,,,,5.5,,,39.5,12,,0.5,,27,5.6,,,,,,,25,63,,,,12,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/04,2016-17,Eastern,,,1,2,,,,,0.5,2,1.2,,,4,,13.5,,8,,,,9,,5,49.5,21,,,5,4,25.9,,,8,,,,5,36,,,,,,,,,,,,,,,,,4,,,10,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,8,,,,,,,2,,,2,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/05,2016-17,Eastern,,,,,,,2,,,2,,5,,2,,3.5,,2,,,,,,,20,,,,,,21.4,,10,,,,,47,63,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,6,4,,15,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/06,2016-17,Eastern,,5,4,,,,,,0.5,4,,10,,27,,15.5,5,18,,,,18,,,44.5,8,,,,29,18,,10,,,,,26,72,,,,13,,,,,,,,,,,,,,,,30,,,,,,,,,,,,0.6,,,,2,,,,,,3.5,,,,,,,,,,,,,8,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/07,2016-17,Eastern,,,,,,,,,1,2,,15,,6,,15.5,5,14,,,,12,,,37.5,27,0.8,,,17,21.7,,,,,,,13,93,,1,,8,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/08,2016-17,Eastern,,,1,,,,,,,2,1.8,,,8,,7.5,2,5,,,,6,,,25.5,23,,,,17,9.1,,,,,,,33,69,,0.5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/09,2016-17,Eastern,,5,,,,,,,,,,,,21,2.7,4,2,11,,,,5,,,40,20,,,,25,15.1,,10,1,,0.4,,10,79,,,,,,,,7,,,,,,,,,,,,10,,3,,,,,,,18,,,0.6,,,,2,,,,,,,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/10,2016-17,Eastern,,4,,,,,,,,,,15,,9,,15,,8.5,,,,5,,,35.5,29,,,,20,23,,,,,,,14,105,,,,4,,,,,,,,,,,,,,,10,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,4,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/11,2016-17,Eastern,,,,,,,,,1,12,1.8,23,,20,,8,2,22,,,,16,,,53.5,12,,,,35,28,,,,,,,21,129,,1,,8,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.4,,,,2,,,,,,3,,8.5,,,,,,,,,,5.6,20,,,,,,,2,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/12,2016-17,Eastern,,6,,,,,,,,6,,10,,4,,17.5,4,12,,,,2,,,32,12,,,,28,24.4,,,,,,,41,71,,,,4,,,,8.5,,,,,,,,,,,,,,,,1,,,,,9,7.5,,0.4,,,,,,,,,,6,,8,,,,,,,5,,,3.2,16,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/13,2016-17,Eastern,,6,,,,,,,,,,25,,4,,4,,6,,,,4,,,35,8,,,,4,16.5,,,,,,,5,18,,,,2,,,,,,,,,,,,,,,,10,,,,0.5,,,,,9,,,0.2,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70499/14,2016-17,Eastern,,,,,,,,,,4,,35,,13,,14.5,7,17,,,,9,,,24,3,,,,32,18.5,,,2,,,,38,124,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,5.8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1.5,,,,,,,,,,,,,
70499/15,2016-17,Eastern,,4,1,,,,,,1,4,,25,,6,,13.5,,4,,,,,,,5,,,,,10,15.5,,,,,,,16,74,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3.5,,,,,,,,,,,,1.6,,,,,,,,5,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/01,2016-17,Ashanti,,20,7,8,6,,2,,8,10,2.9,,1,20,,16,3,10,,,,6,,8,20,15,,,,13,5.39,,5,4,,,,5,,2,8,,13,,,,,,,,,,,,,,2,30,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/02,2016-17,Ashanti,,21,3,30,16,,,,4,,17.5,,,,,1,,6,,,,,1,20,90,19,,,,19,7.5,,,,,,,,,,4,,5,,,,,,,,,,,,,1,,35,,,,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/03,2016-17,Ashanti,,,3,20,,,,,3.5,13,23.4,,5,,,2,7.5,22,,50,,8.09,,,,15,,,,22,12,,5,,,,,,,6,3,,5,,,,4,,,6,,,,,,,,10,,,,,,,,,,,3,,,,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/04,2016-17,Ashanti,,16,7,20,47.8,,,,2.4,15.5,25.1,,1,20,53,16,7.5,22,,,0.4,10.7,,20,39.4,13,,4,2,24,10,2,,2,,,,5,,2,8,,7,3,3,,5,,,,,,2,,,,2,39,15,,,,1.8,,,,,,2.5,,,,30,,,,,,,,,,,,,,,,,13,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/05,2016-17,Ashanti,,39,9,15,34.5,,2,,4.5,12,5,,,20,8.5,19,7.5,17,,,,12,,24,24.5,25,1,4,,49,34.5,,35,3,15,,,,10,3,7,,13,243,,,9.5,,,2,182.5,,,,,,12,70,,,,,,,,,,10,27,,3,,26,,,,,,,200,,,,3.5,,,,,,13.5,,,,5,,,,,,,,230,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/06,2016-17,Ashanti,,40,,,5,,,,,1,6,,,,,4,,1,,,,0.5,,,35,,,,5,2,4.5,,,46,6,,,,,,,,,,,,,,,,6.5,,,,,,12,4,,,17,,,,,,20.5,,12.5,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/07,2016-17,Ashanti,,7.5,,,5,1,,,0.5,6,2.5,,0.5,5,25,4,4.5,14,,,,4.5,,,10,15,1,,2,12,3.4,,,1.8,,,,,,0.5,,,6,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/08,2016-17,Ashanti,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,2,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,,,,,,,,,,,,,2,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/09,2016-17,Ashanti,,16,2,10,2,,,,2.5,20,9.7,,,15,,6,11,24,,,,11,,,50,15,2,2,2,29,15.5,,33,8,2,,,,,,2.3,,33,3,5,,,,,,2,,,,,,3,9,,3,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/10,2016-17,Ashanti,,2,,,30,,,,,,,,,,,,,,,,,,,,18,,,,3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,2.5,,,,,,10.4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/11,2016-17,Ashanti,,40,1,20,,,9,,2.5,23,18.5,,2.1,22,,10,3.5,25,,,,6.5,,13,50,10,2,,,21,11.5,,35,,6,,,5,,2.5,4,,6,,,,,,,7,,,,,,,,15,,,,,,,,,,,,,1,,58,,,5,,,1,,,7.5,,,,,,,,2,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/12,2016-17,Ashanti,,27,2,,18.8,,,,2.5,5,9.4,,,30,6,30,1,5,,,,3,,5,,15,1,1,,13,17.9,,,8.5,2,,,3,,,1,,6,4,,,,,,,2.5,,,,,,,15,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/13,2016-17,Ashanti,,25,,10,13,,,,,5,,,,20,,,,5,,,,2,,10,54,,2,2,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,8,,,2,,,,35,,,,,12,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/14,2016-17,Ashanti,,65,,,87,4,,,,,,,,,,,,,,,,,,,,,,,,,,13,,79,,,,,,,,,,33,19,,,,,,,,,,,,9,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500/15,2016-17,Ashanti,,4,,,,,,,0.5,6,2,,,10,,43,5.5,7,,,,,,,,10,,,,5.5,3.5,,,,12,,,,,,2.5,,,,,,,,,,4,,,,,,,30,,,,,,,,,,,18,,,,,,0.8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/01,2016-17,Ashanti,,31,,26,6,,1,,1,9.5,4.8,,,51,,10,12.5,18,3,,,8.5,2,27,36,9,1,,6,27,10,,34,,,,,,30,,,,13,,,,19.5,,,2,,,,,,,,,,4,,,,,,,,15,,1,10,4,38.5,,,,,,,,4,,5,,,,,,,4,,,,,,,,,,,,,,,,,,,30,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/02,2016-17,Ashanti,,22,,,3,,,,,9.5,,,,100,,3,2,18,,,,10.5,,15,,,1,2,,24,3.8,3,61,,,,,,25,,2,,11,,,,3,,,,,,,,,,,,,,,,,,,,,30,,,,,47.5,,,,,,,,,,10,,,,,,,4,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/03,2016-17,Ashanti,,25,,21,23,3,1,,1,10,8.4,,,14,2,16,7.5,21,3,,,15.5,4,53,33,18,,,18,26,6.7,12,65,3,,,,,50,0.5,2,,8,,,,14,,,4,,,,,,,,,,,,,,,10,,,30,,4,0.5,,9,,,,,,,,4,,40,,,,,,,4.5,,,,,,,,,,,,,,,15,,,,52,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/04,2016-17,Ashanti,,24,,38,3.4,,,,3,7.5,,,,14,1,24,4,19,1,,,11,,21,19,12,1,2,,36.5,5.6,15,68,,,,,9,16,,,,2,,,,3,,,,,,,,,3,,,,,,,,,,,,28,3,11,,,,,,25,,,3,,,4,,,,,,,,4,,,,5,,,35,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/05,2016-17,Ashanti,,11,,,,,,,2,8.5,1.8,5,1,23,,15,5,15.5,,,,11.5,,10,,,1.5,6,23,28,9.6,5.5,40,13.4,7,,,4,35,,3,,,,,,,,,,,,,,,,3,,,,,,1,,,20.5,,58,2,5,,,60,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/06,2016-17,Ashanti,,9,,,,,,,1.6,9,91.2,,,75,,9,8,63,,,,6.5,,8,18,5,,,3,22,3.5,3.2,49,,,,,2,30,,2,,3,,,,13.5,,,,,,,,,,,,,,,,,,,,,8,2.3,,,2,28,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/07,2016-17,Ashanti,,12,,,,,,,1.5,11.5,2.4,,,60,1.6,15,8.5,23,,,,10.5,,,15,13,1,,11,24,10.5,,29,,,,,,55,,3,,22,,,,24,,,2,,,,,,,,,,10,,,0.5,,,,,39,,8,,,61.9,,,,,,,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/08,2016-17,Ashanti,,33,,,12,,,,,1,4.2,,,,,,,,2,,,,,5,19,,,,,,,21.5,,,,,,,,,4,,,,9,,1,,,,1.8,,,,,10,17.2,,,,7,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/09,2016-17,Ashanti,,13,,6,3.2,1,,,1.8,2.5,7.8,,,16,0.6,6,6,13.5,,,,10.5,2,12,16,9,1.5,4.5,,15,10.7,6.8,29,5.4,,,,,,0.5,2,1.5,5,,4.5,,9.5,,,,3,,,,,,3,25,,,,,,,,,,14,,8,1.5,2,16,,,,,,,,5,,,,,,,,,4,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/10,2016-17,Ashanti,2,53,,36,3,3,2,,,4,6,,,35,,161,5,25,8.5,,,9,4,56,41,8,,4,,26,21,5,146,,,,,,90,,7,,8,,,,12,,,,,,,,,13,47.6,75,,,,,,,,,,,,,,4,,,,10,,,,,6,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/11,2016-17,Ashanti,,8,,,4.2,,1,,0.4,4.5,,,0.2,39,,3,4,14.5,,,,12.5,,7,,5,1,4,12,15,8.8,,34,,,,,1,80,,6.5,,13,,,,2.5,,,,,,,,,,,,,,,,,,,,,8,,6,3,,51.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/12,2016-17,Ashanti,,12,2,,3,,,,1,15.5,2.4,,,40,,,9.5,27,,,,12.5,,,4,,1,4,24,32,12.4,,,,5,,,,25,,4,,12,,,,42,,,6,,,,,,,,,,,,,2,,,,,24,,18,,6,80,,,,,,,,4,,40,,,,,,,,,,,,,,,,,,,,,,30,,,,15,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,20,,,,,,,,,,,,,,,,
70501/13,2016-17,Ashanti,,5,,34,,,1,,,12,1.8,,,25,,15.5,3.5,20,,,,15.5,4,34,,9,,,13,22,10.1,4,6,,,,,,25,,7,,21.5,,,,17,,,2,,,,,,,,,,,,,,,,,,81,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/14,2016-17,Ashanti,,25,,,14.8,,3,,3.5,15,,,,20,,27,9.5,25,3,,,47,4,,4,,1,4,40,34,14.6,14,17,,,,,,25,,5,,14,,5,,21,,,2,,,,6,,5,6,15,,,,,,,10,,,30,,,,,84,,,,,,,,4,,8,,,,,,,4.5,,,,15,,,35,,,,,,,,20,,,,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70501/15,2016-17,Ashanti,,31,,2,,7,3,,1,1,19.6,,,,,,1,16,8,,,10,,8,10,5,,,,12,11,17.5,40,7.4,,4.7,,,,,,,8,,15,,,,,,,,32,,,3,23.8,10,10,,7,,,,,36.5,21,16,4.6,,,,4,,,,,,6,,5,,,,,,,,,11,,,,,,,,,,,,,,,20,,,,12,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70502/01,2016-17,Ashanti,,48,5.5,16,6,,,,0.8,4.5,39,4,,14,5.4,10,7,7,,1,,10.5,,19,24,17,1,,,26,13.2,,8,11.5,,,,,21,,15,,17,,,,4,,,,,,,,,,5.6,6,,,4.5,,,,,6,,29,8.5,6,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70502/02,2016-17,Ashanti,,18,5.5,14,,,2,,0.8,3,2.4,2,1,20,1,6,1,4,,,,2,,21,29,26,2,,,20,9.8,,10,,,,,,25,,,,18.5,,,,2,,,3,,,,,,,,,5,,,,,,,,,,,6,0.5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
