i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
30038,2010,Nigeria,0,0,1,0,3,0,1,0,1,1,0,1,1,0
30039,2010,Nigeria,1,3,0,0,1,0,0,0,0,1,0,0,1,0
30040,2010,Nigeria,0,0,0,0,1,2,1,0,0,0,1,0,0,1
30041,2010,Nigeria,0,0,1,1,0,0,0,0,1,1,1,0,1,0
30042,2010,Nigeria,0,0,0,0,0,1,0,0,1,0,0,0,0,1
30043,2010,Nigeria,0,0,0,2,1,0,1,0,0,1,0,1,1,0
30044,2010,Nigeria,0,0,0,0,0,2,0,1,0,0,0,1,1,0
30045,2010,Nigeria,0,0,1,0,4,0,1,0,1,0,1,2,2,0
30047,2010,Nigeria,0,1,0,0,1,0,1,0,0,0,0,0,0,1
30048,2010,Nigeria,0,0,1,0,0,0,0,0,0,0,1,1,1,0
30049,2010,Nigeria,0,0,0,0,4,0,0,0,0,0,0,2,0,1
30050,2010,Nigeria,0,0,0,0,1,0,0,1,0,1,0,1,0,0
30051,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30052,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30053,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30054,2010,Nigeria,0,1,0,1,0,1,0,0,2,0,1,0,1,0
30055,2010,Nigeria,0,0,3,0,0,1,0,1,1,0,0,0,1,0
30056,2010,Nigeria,0,1,1,1,2,1,0,0,1,0,0,0,1,0
30057,2010,Nigeria,0,0,1,2,0,1,0,0,1,0,1,0,1,0
30058,2010,Nigeria,0,0,0,1,1,1,1,0,0,0,0,0,0,1
30059,2010,Nigeria,0,0,1,0,3,0,1,0,0,0,0,1,0,1
30060,2010,Nigeria,0,0,2,1,2,0,0,0,0,1,2,2,1,0
30061,2010,Nigeria,0,0,0,1,2,0,1,0,0,1,0,1,1,0
30062,2010,Nigeria,0,0,0,1,2,0,1,0,0,0,0,0,1,0
30063,2010,Nigeria,0,0,0,0,1,2,0,0,0,0,0,0,0,1
30064,2010,Nigeria,1,1,0,0,1,0,0,0,0,0,0,1,0,0
30065,2010,Nigeria,0,0,0,0,0,0,1,1,0,1,1,1,0,1
30066,2010,Nigeria,0,0,0,0,1,0,0,1,1,0,1,1,1,0
30067,2010,Nigeria,0,0,0,1,0,1,1,0,0,0,0,3,2,1
